question,value,positive_answer,negative_answer
Should I be able to control my cravings?,Moderation,I am able to control my cravings.,
Should I be able to find out things by myself?,Quickness,I am able to find out things by myself.,
Should I always be busy?,Assertiveness,I am always busy.,
Should I always be in the same mood?,Tranquility,I am always in the same mood.,
Should I always be prepared?,Purposefulness,I am always prepared.,
Should I be calm even in tense situations?,Toughness,I am calm even in tense situations.,
Should I be careful to avoid making mistakes?,Conscientiousness,I am careful to avoid making mistakes.,
Should I be comfortable in unfamiliar situations?,Poise,I am comfortable in unfamiliar situations.,
Should I be concerned about others?,Sympathy,I am concerned about others.,
Should I be deeply moved by others' misfortunes?,Sympathy,I am deeply moved by others' misfortunes.,
Should I be easy to satisfy?,Pleasantness,I am easy to satisfy.,
Should I be exacting in my work?,Efficiency,I am exacting in my work.,
Should I be full of ideas?,Ingenuity,I am full of ideas.,
Am I good at many things?,Ingenuity,I am good at many things.,
Should I be interested in people?,Warmth,I am interested in people.,
Should I not be afraid of providing criticism?,Provocativeness,I am not afraid of providing criticism.,
Should I not be disturbed by events?,Tranquility,I am not disturbed by events.,
Should I not be easily affected by my emotions?,Imperturbability,I am not easily affected by my emotions.,
Should I not be easily bothered by things?,Stability,I am not easily bothered by things.,
Should I not be easily distracted?,Purposefulness,I am not easily distracted.,
Should I not be easily frustrated?,Stability,I am not easily frustrated.,
Should I not be easily stirred?,Tranquility,I am not easily stirred.,
Should I not be embarrassed easily?,Poise,I am not embarrassed easily.,
Should I be on good terms with nearly everyone?,Pleasantness,I am on good terms with nearly everyone.,
Should I be open about my feelings?,Friendliness,I am open about my feelings.,
Should I be open about myself to others?,Self-disclosure,I am open about myself to others.,
Should I be quick to understand things?,Quickness,I am quick to understand things.,
Should I be relaxed most of the time?,Tranquility,I am relaxed most of the time.,
Should I be sure of my ground?,Happiness,I am sure of my ground.,
Should I be the first to act?,Leadership,I am the first to act.,
Should I anticipate the needs of others?,Empathy,I anticipate the needs of others.,
Should I appreciate good manners?,Dutifulness,I appreciate good manners.,
Should I appreciate the viewpoints of others?,Understanding,I appreciate the viewpoints of others.,
Should I ask questions that nobody else does?,Creativity,I ask questions that nobody else does.,
Should I automatically take charge?,Assertiveness,I automatically take charge.,
Should I behave properly?,Dutifulness,I behave properly.,
Will crying help me feel better?,Tenderness,I believe crying helps me feel better.,
Should I believe in a logical answer for everything?,Rationality,I believe in a logical answer for everything.,
Should I believe in an eye for an eye?,Rationality,I believe in an eye for an eye.,
Should I believe in the importance of art?,Imagination,I believe in the importance of art.,
Should I boast about my virtues?,Provocativeness,I boast about my virtues.,
Can I easily link facts together?,Creativity,I can easily link facts together.,
Can I easily push myself forward?,Assertiveness,I can easily push myself forward.,
Can I handle a lot of information?,Quickness,I can handle a lot of information.,
Can I handle complex problems?,Quickness,I can handle complex problems.,
Should I be able to stand criticism?,Toughness,I can stand criticism.,
Should I be able to take strong measures?,Provocativeness,I can take strong measures.,
Should I be unable to do without the company of others?,Sociability,I can't do without the company of others.,
Should I carry out my plans?,Purposefulness,I carry out my plans.,
Should I carry the conversation to a higher level?,Ingenuity,I carry the conversation to a higher level.,
Should I catch on to things quickly?,Quickness,I catch on to things quickly.,
Should I challenge others' points of view?,Creativity,I challenge others' points of view.,
Should I check over my work?,Dutifulness,I check over my work.,
Should I cherish mementos?,Tenderness,I cherish mementos.,
Should I come straight to the point?,Rationality,I come straight to the point.,
Should I come up with a solution right away?,Assertiveness,I come up with a solution right away.,
Should I come up with bold plans?,Ingenuity,I come up with bold plans.,
Should I complete tasks successfully?,Organization,I complete tasks successfully.,
Should I continue until everything is perfect?,Perfectionism,I continue until everything is perfect.,
Should I dare to say anything?,Provocativeness,I dare to say anything.,
Should I demand perfection in others?,Perfectionism,I demand perfection in others.,
Should I demand quality?,Organization,I demand quality.,
Should I demand to be the center of interest?,Talkativeness,I demand to be the center of interest.,
Should I detect mistakes?,Organization,I detect mistakes.,
Should I disclose my intimate thoughts?,Self-disclosure,I disclose my intimate thoughts.,
Should I dislike imperfect work?,Rationality,I dislike imperfect work.,
Should I do a lot in my spare time?,Assertiveness,I do a lot in my spare time.,
Should I do most of the talking?,Talkativeness,I do most of the talking.,
Should I do things according to a plan?,Conscientiousness,I do things according to a plan.,
Should I do things at my own pace?,Introspection,I do things at my own pace.,
Should I do things by the book?,Orderliness,I do things by the book.,
Should I do things in a logical order?,Rationality,I do things in a logical order.,
Should I not lose my head?,Toughness,I don't lose my head.,
Should I not mind being the center of attention?,Provocativeness,I don't mind being the center of attention.,
Should I not mind eating alone?,Introspection,I don't mind eating alone.,
Should I easily resist temptations?,Moderation,I easily resist temptations.,
Should I enjoy being on the go?,Sociability,I enjoy being on the go.,
Should I enjoy being part of a loud crowd?,Sociability,I enjoy being part of a loud crowd.,
Should I enjoy contemplation?,Introspection,I enjoy contemplation.,
Should I enjoy discussing movies and books with others?,Reflection,I enjoy discussing movies and books with others.,
Should I enjoy examining myself and my life?,Depth,I enjoy examining myself and my life.,
Should I enjoy my privacy?,Introspection,I enjoy my privacy.,
Should I enjoy spending time by myself?,Introspection,I enjoy spending time by myself.,
Should I enjoy the beauty of nature?,Reflection,I enjoy the beauty of nature.,
Should I enjoy thinking about things?,Intellect,I enjoy thinking about things.,
Should I excel in what I do?,Competence,I excel in what I do.,
Should I expect dedicated work from others?,Perfectionism,I expect dedicated work from others.,
Should I experience very few emotional highs and lows?,Tranquility,I experience very few emotional highs and lows.,
Should I express childlike joy?,Self-disclosure,I express childlike joy.,
Should I express myself easily?,Leadership,I express myself easily.,
Should I feel comfortable around people?,Poise,I feel comfortable around people.,
Should I feel comfortable with myself?,Happiness,I feel comfortable with myself.,
Should I feel sympathy for those who are worse off than myself?,Sympathy,I feel sympathy for those who are worse off than myself.,
Should I finish what I start?,Efficiency,I finish what I start.,
Should I follow a schedule?,Orderliness,I follow a schedule.,
Should I follow directions?,Dutifulness,I follow directions.,
Should I follow through on my commitments?,Organization,I follow through on my commitments.,
Should I follow through with my plans?,Efficiency,I follow through with my plans.,
Should I get a head start on others?,Rationality,I get a head start on others.,
Should I get chores done right away?,Efficiency,I get chores done right away.,
Should I get to work at once?,Purposefulness,I get to work at once.,
Should I go out of my way for others?,Nurturance,I go out of my way for others.,
Should I handle tasks smoothly?,Purposefulness,I handle tasks smoothly.,
Should I have a good word for everyone?,Pleasantness,I have a good word for everyone.,
Should I have a lot of fun?,Poise,I have a lot of fun.,
Should I have a point of view all my own?,Introspection,I have a point of view all my own.,
Should I have a soft heart?,Nurturance,I have a soft heart.,
Should I have a vivid imagination?,Imagination,I have a vivid imagination.,
Should I have an eye for detail?,Organization,I have an eye for detail.,
Do I have excellent ideas?,Ingenuity,I have excellent ideas.,
Should I have no sympathy for criminals?,Rationality,I have no sympathy for criminals.,
Should I inquire about others' well-being?,Warmth,I inquire about others' well-being.,
Should I joke around a lot?,Self-disclosure,I joke around a lot.,
Should I keep a sharp eye on others' work?,Perfectionism,I keep a sharp eye on others' work.,
Should I keep my checkbook balanced?,Conscientiousness,I keep my checkbook balanced.,
Should I keep my cool?,Stability,I keep my cool.,
Should I keep my emotions under control?,Impulse-Control,I keep my emotions under control.,
Should I keep myself well-groomed?,Dutifulness,I keep myself well-groomed.,
Should I know how to apply my knowledge?,Competence,I know how to apply my knowledge.,
Should I know how to captivate people?,Leadership,I know how to captivate people.,
Should I know how to cope?,Toughness,I know how to cope.,
Should I know how to get around the rules?,Provocativeness,I know how to get around the rules.,
Should I know no limits?,Provocativeness,I know no limits.,
Should I know the answers to many questions?,Creativity,I know the answers to many questions.,
Should I know what I want?,Assertiveness,I know what I want.,
Should I laugh my way through life?,Self-disclosure,I laugh my way through life.,
Should I learn quickly?,Competence,I learn quickly.,
Should I let myself go?,Self-disclosure,I let myself go.,
Should I let others finish what they are saying?,Impulse-Control,I let others finish what they are saying.,
Should I like harmony in my life?,Morality,I like harmony in my life.,
Should I like music?,Reflection,I like music.,
Should I like to amuse others?,Self-disclosure,I like to amuse others.,
Should I like to attract attention?,Talkativeness,I like to attract attention.,
Should I like to be of service to others?,Understanding,I like to be of service to others.,
Should I like to do things for others?,Sympathy,I like to do things for others.,
Should I like to get lost in thought?,Depth,I like to get lost in thought.,
Should I like to plan ahead?,Conscientiousness,I like to plan ahead.,
Should I like to please others?,Nurturance,I like to please others.,
Should I like to solve complex problems?,Creativity,I like to solve complex problems.,
Should I listen to my conscience?,Cooperation,I listen to my conscience.,
Should I listen to my heart rather than my brain?,Tenderness,I listen to my heart rather than my brain.,
Should I live in a world of my own?,Introspection,I live in a world of my own.,
Should I look at the bright side of life?,Happiness,I look at the bright side of life.,
Should I look at the facts?,Competence,I look at the facts.,
Should I look for hidden meanings in things?,Depth,I look for hidden meanings in things.,
Should I love beautiful things?,Reflection,I love beautiful things.,
Should I love children's movies?,Tenderness,I love children's movies.,
Should I love flowers?,Reflection,I love flowers.,
Should I love life?,Poise,I love life.,
Should I love to read challenging material?,Quickness,I love to read challenging material.,
Should I love to reflect on things?,Empathy,I love to reflect on things.,
Should I make a lot of noise?,Talkativeness,I make a lot of noise.,
Should I make beautiful things?,Reflection,I make beautiful things.,
Should I make demands on others?,Provocativeness,I make demands on others.,
Should I make myself the center of attention?,Talkativeness,I make myself the center of attention.,
Should I make others feel good?,Warmth,I make others feel good.,
Should I make people feel welcome?,Warmth,I make people feel welcome.,
Should I make plans and stick to them?,Efficiency,I make plans and stick to them.,
Should I make well-considered decisions?,Organization,I make well-considered decisions.,
Should I meet challenges?,Competence,I meet challenges.,
Do I need a creative outlet?,Imagination,I need a creative outlet.,
Do I need things explained only once?,Competence,I need things explained only once.,
Do I need to understand my motives?,Depth,I need to understand my motives.,
Should I never be at a loss for words?,Leadership,I never at a loss for words.,
Should I never spend more than I can afford?,Cautiousness,I never spend more than I can afford.,
Should I never splurge?,Cautiousness,I never splurge.,
Should I never stop talking?,Talkativeness,I never stop talking.,
Should I pay attention to details?,Organization,I pay attention to details.,
Should I prefer to be alone?,Introspection,I prefer to be alone.,
Should I prefer variety to routine?,Imagination,I prefer variety to routine.,
Should I purchase only practical things?,Cautiousness,I purchase only practical things.,
Should I quickly get the idea of things?,Quickness,I quickly get the idea of things.,
Should I quickly think up new ideas?,Ingenuity,I quickly think up new ideas.,
Should I radiate joy?,Friendliness,I radiate joy.,
Should I rarely notice my emotional reactions?,Tranquility,I rarely notice my emotional reactions.,
Should I rarely overindulge?,Moderation,I rarely overindulge.,
Should I reason logically?,Rationality,I reason logically.,
Should I reassure others?,Sympathy,I reassure others.,
Should I remain calm under pressure?,Moderation,I remain calm under pressure.,
Should I remember my friends' birthdays?,Tenderness,I remember my friends' birthdays.,
Should I respect authority?,Morality,I respect authority.,
Should I respect others?,Pleasantness,I respect others.,
Should I respect others' feelings?,Understanding,I respect others' feelings.,
Should I respect the privacy of others?,Morality,I respect the privacy of others.,
Should I return borrowed items?,Conscientiousness,I return borrowed items.,
Should I see beauty in things that others might not notice?,Reflection,I see beauty in things that others might not notice.,
Should I see that rules are observed?,Orderliness,I see that rules are observed.,
Should I seek explanations of things?,Competence,I seek explanations of things.,
Should I seldom feel blue?,Happiness,I seldom feel blue.,
Should I seldom get emotional?,Imperturbability,I seldom get emotional.,
Should I seldom get mad?,Stability,I seldom get mad.,
Should I seldom take offense?,Stability,I seldom take offense.,
Should I sense others' wishes?,Empathy,I sense others' wishes.,
Should I set high standards for myself and others?,Organization,I set high standards for myself and others.,
Should I show a mastery of language?,Intellect,I show a mastery of language.,
Should I show my feelings?,Tenderness,I show my feelings.,
Should I show my gratitude?,Warmth,I show my gratitude.,
Should I speak loudly?,Talkativeness,I speak loudly.,
Should I spend time reflecting on things?,Introspection,I spend time reflecting on things.,
Should I stick to the rules?,Dutifulness,I stick to the rules.,
Should I stick up for myself?,Assertiveness,I stick up for myself.,
Should I suffer from others' sorrows?,Tenderness,I suffer from others' sorrows.,
Should I sympathize with others' feelings?,Understanding,I sympathize with others' feelings.,
Should I take an interest in other people's lives?,Sympathy,I take an interest in other people's lives.,
Should I take charge?,Leadership,I take charge.,
Should I take good care of my belongings?,Orderliness,I take good care of my belongings.,
Should I take others' interests into account?,Understanding,I take others' interests into account.,
Should I take precautions?,Cautiousness,I take precautions.,
Should I take things as they come?,Calmness,I take things as they come.,
Should I take time to reflect on things?,Reflection,I take time to reflect on things.,
Do I talk too much?,Talkativeness,I talk too much.,
Should I tend to analyze things?,Depth,I tend to analyze things.,
Should I dislike impulsive people?,Cautiousness,I tend to dislike impulsive people.,
Should I tend to feel the same every day?,Tranquility,I tend to feel the same every day.,
Should I think about something for hours?,Depth,I tend to think about something for hours.,
Should I think ahead?,Organization,I think ahead.,
Should I think deeply about things?,Depth,I think deeply about things.,
Should I think of others first?,Nurturance,I think of others first.,
Should I trust others?,Pleasantness,I trust others.,
Should I trust what people say?,Pleasantness,I trust what people say.,
Should I try to follow the rules?,Morality,I try to follow the rules.,
Should I try to lead others?,Assertiveness,I try to lead others.,
Should I try to stay in touch with myself?,Empathy,I try to stay in touch with myself.,
Should I try to understand myself?,Intellect,I try to understand myself.,
Should I turn plans into actions?,Assertiveness,I turn plans into actions.,
Should I use difficult words?,Intellect,I use difficult words.,
Should I use my brain?,Competence,I use my brain.,
Should I value cooperation over competition?,Cooperation,I value cooperation over competition.,
Should I want every detail taken care of?,Perfectionism,I want every detail taken care of.,
Should I want everything to be just right?,Perfectionism,I want everything to be just right.,
Should I want things to proceed according to plan?,Perfectionism,I want things to proceed according to plan.,
Should I want to be left alone?,Introspection,I want to be left alone.,
Should I want to mean something to others?,Tenderness,I want to mean something to others.,
Should I want to please others?,Tenderness,I want to please others.,
Should I warm up quickly to others?,Friendliness,I warm up quickly to others.,
Should I do anything for others?,Nurturance,I will do anything for others.,
Should I work according to a routine?,Orderliness,I work according to a routine.,
Should I work on improving myself?,Empathy,I work on improving myself.,
Should I never cheat on my taxes?,Morality,I would never cheat on my taxes.,
Should I avoid harming a fly?,Nurturance,I wouldn't harm a fly.,
Should I be concerned about others?,Empathy,I am concerned about others.,
Should I be deeply moved by others' misfortunes?,Responsive Distress,I am deeply moved by others' misfortunes.,
Should I be easily moved to tears?,Responsive Distress,I am easily moved to tears.,
Should I be strongly influenced by the good moods of others?,Responsive Joy,I am strongly influenced by the good moods of others.,
Should I be upset by the misfortunes of strangers?,Responsive Distress,I am upset by the misfortunes of strangers.,
Should I be aware of the way that I'm feeling?,Attention to Emotions,I am usually aware of the way that I'm feeling.,
"Should I base my goals in life on inspiration, rather than logic?",Emotion-based Decision-making,"I base my goals in life on inspiration, rather than logic.",
Should I believe that emotions give direction to life?,Emotion-based Decision-making,I believe emotions give direction to life.,
Should I believe that criminals should receive help rather than punishment?,Empathy,I believe that criminals should receive help rather than punishment.,
Should I believe that the poor deserve our sympathy?,Empathy,I believe that the poor deserve our sympathy.,
Should I look upset when something bad happens?,Negative Expressivity,I can't help but look upset when something bad happens.,
Should I express my affection physically?,Positive Expressivity,I express my affection physically.,
Should I express my happiness in a childlike manner?,Positive Expressivity,I express my happiness in a childlike manner.,
Should I feel other people's joy?,Responsive Joy,I feel other people's joy.,
Should I feel sympathy for those who are worse off than myself?,Empathy,I feel sympathy for those who are worse off than myself.,
Should I find it hard to stay in a bad mood if the people around me are happy?,Responsive Joy,I find it hard to stay in a bad mood if the people around me are happy.,
Should I get caught up in the excitement when others are celebrating?,Responsive Joy,I get caught up in the excitement when others are celebrating.,
Should I hug my close friends?,Positive Expressivity,I hug my close friends.,
Should I laugh out loud if something is funny?,Positive Expressivity,I laugh out loud if something is funny.,
Should I like to watch children open presents?,Responsive Joy,I like to watch children open presents.,
Should I listen to my feelings when making important decisions?,Emotion-based Decision-making,I listen to my feelings when making important decisions.,
Should I listen to my heart rather than my brain?,Emotion-based Decision-making,I listen to my heart rather than my brain.,
Should I notice my emotions?,Attention to Emotions,I notice my emotions.,
Should I often stop to analyze how I'm feeling?,Attention to Emotions,I often stop to analyze how I'm feeling.,
Should I pay a lot of attention to my feelings?,Attention to Emotions,I pay a lot of attention to my feelings.,
Should I plan my life based on how I feel?,Emotion-based Decision-making,I plan my life based on how I feel.,
Should I shout or scream when I'm angry?,Negative Expressivity,I shout or scream when I'm angry.,
Should I show my fear?,Negative Expressivity,I show my fear.,
Should I show my feelings when I'm happy?,Positive Expressivity,I show my feelings when I'm happy.,
Should I show my sadness?,Negative Expressivity,I show my sadness.,
Should I sometimes laugh out loud when reading or watching TV?,Positive Expressivity,I sometimes laugh out loud when reading or watching TV.,
Should I suffer from others' sorrows?,Responsive Distress,I suffer from others' sorrows.,
Should I suspect that my facial expressions give me away when I feel sad?,Negative Expressivity,I suspect that my facial expressions give me away when I feel sad.,
Should I sympathize with the homeless?,Empathy,I sympathize with the homeless.,
Should I think about the causes of my emotions?,Attention to Emotions,I think about the causes of my emotions.,
Should I usually end up laughing if the people around me are laughing?,Responsive Joy,I usually end up laughing if the people around me are laughing.,
Would I be upset if I saw an injured animal?,Responsive Distress,I would be upset if I saw an injured animal.,
Should I rarely experience fear or nervousness even if something bad is about to happen to me?,Behavioral Inhibition System,"Even if something bad is about to happen to me, I rarely experience fear or nervousness.",
Should I go out of my way to get things I want?,Drive,I go out of my way to get things I want.,
Should I keep at something when I'm doing well at it?,Reward Responsiveness,When I'm doing well at something I love to keep at it.,
Should I always be willing to try something new if I think it will be fun?,Fun Seeking,I'm always willing to try something new if I think it will be fun.,
Should I feel excited and energized when I get something I want?,Reward Responsiveness,"When I get something I want, I feel excited and energized.",
Should criticism or scolding hurt me quite a bit?,Behavioral Inhibition System,Criticism or scolding hurts me quite a bit.,
Should I go all-out to get something when I want it?,Drive,When I want something I usually go all-out to get it.,
Should I often do things for no other reason than that they might be fun?,Fun Seeking,I will often do things for no other reason than that they might be fun.,
Should I move on a chance to get something I want right away?,Drive,If I see a chance to get something I want I move on it right away.,
Should I feel pretty worried or upset when I think or know somebody is angry at me?,Behavioral Inhibition System,I feel pretty worried or upset when I think or know somebody is angry at me.,
Should I get excited right away when I see an opportunity for something I like?,Reward Responsiveness,When I see an opportunity for something I like I get excited right away.,
Should I often act on the spur of the moment?,Fun Seeking,I often act on the spur of the moment.,
"Should I get pretty ""worked up"" if I think something unpleasant is going to happen?",Behavioral Inhibition System,"If I think something unpleasant is going to happen I usually get pretty ""worked up.""",
Should good things affect me strongly when they happen to me?,Reward Responsiveness,"When good things happen to me, it affects me strongly.",
Should I feel worried when I think I have done poorly at something important?,Behavioral Inhibition System,I feel worried when I think I have done poorly at something important.,
Should I crave excitement and new sensations?,Fun Seeking,I crave excitement and new sensations.,
"Should I use a ""no holds barred"" approach when I go after something?",Drive,"When I go after something I use a ""no holds barred"" approach.",
Should I have very few fears compared to my friends?,Behavioral Inhibition System,I have very few fears compared to my friends.,
Would it excite me to win a contest?,Reward Responsiveness,It would excite me to win a contest.,
Should I worry about making mistakes?,Behavioral Inhibition System,I worry about making mistakes.,
Should I be constantly reflecting about myself?,Private Self-Consciousness,I am constantly reflecting about myself.,
Should I be easily intimidated?,Public Self-consciousness,I am easily intimidated.,
Should I examine my motives constantly?,Private Self-Consciousness,I examine my motives constantly.,
Should I feel threatened easily?,Public Self-consciousness,I feel threatened easily.,
Should I like to get lost in thought?,Private Self-Consciousness,I like to get lost in thought.,
Should I look for hidden meaning in things?,Private Self-Consciousness,I look for hidden meaning in things.,
Do I need reassurance?,Public Self-consciousness,I need reassurance.,
Do I need the approval of others?,Public Self-consciousness,I need the approval of others.,
Should I try to examine myself objectively?,Private Self-Consciousness,I try to examine myself objectively.,
Should I want to amount to something special in others' eyes?,Public Self-consciousness,I want to amount to something special in others' eyes.,
Should I worry about what people think of me?,Public Self-consciousness,I worry about what people think of me.,
Should I act without planning?,Non-Planfulness,I act without planning.,
Should I be a cold-hearted person?,Callousness,I am a cold-hearted person.,
Am I a strange person?,Peculiarity,I am a strange person.,
Should I be a workaholic with little time for fun or pleasure?,Workaholism,"I am a workaholic, with little time for fun or pleasure.",
Should I be able to read the minds of others?,Irrational Beliefs,I am able to read the minds of others.,
Should I be afraid that my life will be cut short by illness?,Health Anxiety,I am afraid that my life will be cut short by illness.,
Should I always worry that my partner is going to leave me?,Relationship Insecurity,I am always worried that my partner is going to leave me.,
Should I be considered kind of eccentric?,Peculiarity,I am considered to be kind of eccentric.,
Should I be convinced that my way is the best way?,Rigidity,I am convinced that my way is the best way.,
Should I be easily controlled by others in my life?,Submissiveness,I am easily controlled by others in my life.,
Should I be easily disoriented?,Cognitive Problems,I am easily disoriented.,
Should I be easily distracted?,Non-Perseverance,I am easily distracted.,
Should I be easily startled?,Anxiety,I am easily startled.,
Should I be emotionally reserved?,Emotional Detachment,I am emotionally reserved.,
Should I be excited to inflict pain on others?,Hostile Aggression,I am excited to inflict pain on others.,
Should I consider myself a generally fearful person?,Anxiety,I am generally a fearful person.,
Should I be indifferent to the feelings of others?,Callousness,I am indifferent to the feelings of others.,
Should I be inflexible when I think I'm right?,Rigidity,I am inflexible when I think I'm right.,
Should I be known as a controlling person?,Dominance,I am known as a controlling person.,
Should I be nervous or tense most of the time?,Anxiety,I am nervous or tense most of the time.,
Should I not be a caring person?,Callousness,I am not a caring person.,
Should I consider myself not a dependable person?,Irresponsibility,I am not a dependable person.,
Am I not a joyful person?,Anhedonia,I am not a joyful person.,
Should I not be a sympathetic person?,Callousness,I am not a sympathetic person.,
Am I not good at describing the emotions I feel throughout the day?,Emotional Detachment,I am not good at describing the emotions I feel throughout the day.,
Should I not be happy until all the details are taken care of?,Perfectionism,I am not happy until all the details are taken care of.,
Am I odd?,Peculiarity,I am odd.,
Am I often accused of being narrow-minded?,Rigidity,I am often accused of being narrow-minded.,
Should I often be out for revenge?,Hostile Aggression,I am often out for revenge.,
Should I be paralyzed by a fear of rejection?,Relationship Insecurity,I am paralyzed by a fear of rejection.,
Should I be prone to complain about my health?,Health Anxiety,I am prone to complain about my health.,
Should I be quick to quit when the going gets tough?,Non-Perseverance,I am quick to quit when the going gets tough.,
Should I be ready to hit someone when I get angry?,Hostile Aggression,I am ready to hit someone when I get angry.,
Should I be sad most of the time?,Depression,I am sad most of the time.,
Should I sometimes be so preoccupied with my own thoughts that I don't realize others are trying to speak to me?,Fantasy Proneness,I am sometimes so preoccupied with my own thoughts I don't realize others are trying to speak to me.,
Should I be convinced that my friends and romantic partners will betray me?,Relationship Insecurity,I am usually convinced that my friends and romantic partners will betray me.,
Should I avoid responsibilities?,Irresponsibility,I avoid responsibilities.,
Should I believe I have supernatural powers?,Irrational Beliefs,I believe I have supernatural powers.,
Would the world be a much better place if I had my way?,Rigidity,I believe strongly that the world would be a much better place if I had my way.,
Should I believe that I am always right?,Grandiosity,I believe that I am always right.,
Should I believe that I am better than others?,Grandiosity,I believe that I am better than others.,
Should I believe that most questions have one right answer?,Rigidity,I believe that most questions have one right answer.,
"Should I believe that, sooner or later, people always let you down?",Mistrust,"I believe that, sooner or later, people always let you down.",
Should I boss people around?,Dominance,I boss people around.,
Can I control objects with my mind?,Irrational Beliefs,I can control objects with my mind.,
Can I predict the outcome of events?,Irrational Beliefs,I can predict the outcome of events.,
Can I see into the future?,Irrational Beliefs,I can see into the future.,
Should I not be bothered with others' needs?,Callousness,I can't be bothered with others' needs.,
Should I not be counted on to get things done?,Irresponsibility,I cannot be counted on to get things done.,
Should I cheat to get ahead?,Manipulativeness,I cheat to get ahead.,
Could I easily live without having sex?,Romantic Disinterest,I could easily live without having sex.,
Should I deceive people?,Manipulativeness,I deceive people.,
Should I deserve special treatment from others?,Grandiosity,I deserve special treatment from others.,
Should I dislike myself?,Depression,I dislike myself.,
Should I not care how my actions affect others?,Callousness,I do not care how my actions affect others.,
Should I not feel close to people?,Social Withdrawal,I do not feel close to people.,
Should I dislike reading or hearing opinions that go against my way of thinking?,Rigidity,I do not like reading or hearing opinions that go against my way of thinking.,
Should I do things without thinking of the consequences?,Non-Planfulness,I do things without thinking of the consequences.,
Should I not consider a task finished until it's perfect?,Perfectionism,I don't consider a task finished until it's perfect.,
Should I think I shouldn't have to wait in lines like others?,Grandiosity,I don't think I should have to wait in lines like others.,
Should I not think much about sex?,Romantic Disinterest,I don't think much about sex.,
Should I easily lose my train of thought?,Cognitive Problems,I easily lose my train of thought.,
Should I enjoy a good brawl?,Hostile Aggression,I enjoy a good brawl.,
Should I enjoy flirting with complete strangers?,Exhibitionism,I enjoy flirting with complete strangers.,
Should I expect nothing less than perfection?,Perfectionism,I expect nothing less than perfection.,
Should I feel at times that I have left my body and am somehow outside my physical self?,Unusual Experiences,I feel at times that I have left my body and am somehow outside my physical self.,
Should I feel like my imagination can run wild?,Fantasy Proneness,I feel like my imagination can run wild.,
Should I feel like people are often out to get something from me?,Mistrust,I feel like people often are out to get something from me.,
Should I feel that my anxiety overwhelms me?,Anxiety,I feel my anxiety overwhelms me.,
Will cutting myself help me feel better?,Self-harm,I feel that cutting myself helps me feel better.,
Should I feel that my worry and anxiety is out of control?,Anxiety,I feel that my worry and anxiety is out of control.,
Should I feel that nothing seems to make me feel good?,Anhedonia,I feel that nothing seems to make me feel good.,
Should I feel that others are beneath me?,Grandiosity,I feel that others are beneath me.,
Should I feel that others are out to get me?,Mistrust,I feel that others are out to get me.,
Should I find it difficult to approach others?,Social Withdrawal,I find it difficult to approach others.,
Should I find it difficult to compromise in policy debates?,Rigidity,I find it difficult to compromise in policy debates.,
Should I find it difficult to consider as valid opinions that differ from my own?,Rigidity,I find it difficult to consider as valid opinions that differ from my own.,
Should nothing excite me?,Anhedonia,I find nothing excites me.,
Do I frequently get things mixed up in my head?,Cognitive Problems,I frequently get things mixed up in my head.,
Should I frequently have thoughts about killing myself?,Self-harm,I frequently have thoughts about killing myself.,
Should I generally focus on the negative side of things?,Depression,I generally focus on the negative side of things.,
Should I get a thrill out of doing things that might kill me?,Risk Taking,I get a thrill out of doing things that might kill me.,
Should I get even with others?,Hostile Aggression,I get even with others.,
Should I get in trouble with the law?,Norm Violation,I get in trouble with the law.,
Should I get irritated easily?,Anger,I get irritated easily.,
Should I get jealous easily?,Relationship Insecurity,I get jealous easily.,
Should I have gotten in trouble a lot at school?,Norm Violation,I got in trouble a lot at school.,
Should I have a mouth that gets me into trouble?,Rudeness,I have a mouth that gets me into trouble.,
Should I have a rebellious side that gets me into trouble?,Norm Violation,I have a rebellious side that gets me into trouble.,
Should I have a reputation for asking inappropriate questions?,Rudeness,I have a reputation for asking inappropriate questions.,
Should I have a strong need for power?,Dominance,I have a strong need for power.,
Should I have a violent temper?,Anger,I have a violent temper.,
Should I always be a rule-breaker?,Norm Violation,I have always been a rule-breaker.,
Should I believe that I am rigid and inflexible?,Rigidity,I have been told that I am rigid and inflexible.,
Have I been told that my behavior often is bizarre?,Peculiarity,I have been told that my behavior often is bizarre.,
Should I have difficulty expressing my feelings?,Emotional Detachment,I have difficulty expressing my feelings.,
Should I have difficulty keeping my attention on a task?,Non-Perseverance,I have difficulty keeping my attention on a task.,
Should I have difficulty showing affection?,Emotional Detachment,I have difficulty showing affection.,
Should I have done many things for which I could have been (or was) arrested?,Norm Violation,I have done many things for which I could have been (or was) arrested.,
Should I have exploited others for my own gain?,Manipulativeness,I have exploited others for my own gain.,
Should I have fixed opinions?,Rigidity,I have fixed opinions.,
Should I have frequent mood swings?,Affective Lability,I have frequent mood swings.,
Should I have the feeling that I might not be human?,Unusual Experiences,I have had the feeling that I might not be human.,
Should I have the feeling that I am someone else?,Unusual Experiences,I have had the feeling that I was someone else.,
Should I have little desire for sex or romance?,Romantic Disinterest,I have little desire for sex or romance.,
Do I have medical problems that my doctors don't understand?,Health Anxiety,I have medical problems that my doctors don't understand.,
Should I put my work ahead of too many other things?,Workaholism,I have noticed that I put my work ahead of too many other things.,
